"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"172.20.0.3",44024,"172.20.0.2",5679,14,1180,8,637,6,543,2.985316134,0.11484047499999983,44374.59876406822,37826.3848177222
"172.20.0.3",40338,"172.20.0.4",5679,2,128,1,74,1,54,2.985339785,4.6345000000336256e-05,0,0
"172.20.0.3",44028,"172.20.0.2",5679,11,1216,6,647,5,569,3.136421803,0.03137555199999964,164969.20914730232,145081.112835881
"172.20.0.3",44034,"172.20.0.2",5679,23,1925,12,1112,11,813,3.238022936,5.270935272999999,1687.7460145582027,1233.936609564585
"172.20.0.3",40344,"172.20.0.4",5679,11,1242,6,661,5,581,3.599705621,0.054886320000000044,96344.59005449802,84684.12529752398
"172.20.0.3",40352,"172.20.0.4",5679,14,1181,8,699,6,482,3.95529847,0.01110539800000021,503538.9096365474,347218.53282520146
"172.20.0.3",44044,"172.20.0.2",5679,54,4161,30,2493,24,1668,3.9613883100000002,16.995915369,1173.45842027298,785.12982150635
"172.20.0.3",44046,"172.20.0.2",5679,14,1181,8,699,6,482,4.955708551,0.008942906999999778,625300.0282794106,431179.70476491546
"172.20.0.3",40368,"172.20.0.4",5679,26,1969,14,1133,12,836,4.960465853,12.997439548000003,697.3681213539273,514.5628856592085
"172.20.0.3",40372,"172.20.0.4",5679,14,1181,8,699,6,482,5.955867194,0.009716850000000221,575495.1450315558,396836.4233264805
"172.20.0.3",40382,"172.20.0.4",5679,11,827,6,462,5,365,6.554591846,0.012875712999999678,287052.06461188535,226783.557539693
"172.20.0.3",44060,"172.20.0.2",5679,11,827,6,462,5,365,6.558022597,0.013754686000000405,268708.4241690353,212291.28749285254
"172.20.0.3",40398,"172.20.0.4",5679,38,3549,22,2165,16,1384,6.583901945,7.069828375999999,2449.847305883172,1566.0917650541849
"172.20.0.3",40400,"172.20.0.4",5679,487,44323,317,30800,170,13523,6.641210081,14.748202879,16707.120319781436,7335.402210532609
"172.20.0.3",44068,"172.20.0.2",5679,463,42156,297,29083,166,13073,6.648356968,14.740770591999999,15783.706730112852,7094.880104623502
"172.20.0.3",44080,"172.20.0.2",5679,14,1181,8,699,6,482,6.956188966,0.010171916000000003,549748.9361886196,379082.9574290624
"172.20.0.3",40404,"172.20.0.4",5679,14,1181,8,699,6,482,7.957579523,0.009258995999999797,603953.1715965881,416459.84078620235
"172.20.0.3",40414,"172.20.0.4",5679,21,1876,12,1019,9,857,8.351644256,5.311232711000001,1534.860256285991,1290.8491066114764
"172.20.0.3",40426,"172.20.0.4",5679,15,1278,8,678,7,600,8.436470043,5.033122933,1077.6609417658347,953.6822493502963
"172.20.0.3",44084,"172.20.0.2",5679,11,856,6,482,5,374,8.456404515,0.007426727000000355,519205.83589511446,402869.25855761993
"172.20.0.3",44086,"172.20.0.2",5679,14,1181,8,699,6,482,8.969647904,0.008262239999998755,676814.0359031985,466701.52404197666
"172.20.0.3",40428,"172.20.0.4",5679,14,1181,8,699,6,482,9.975044832,0.0063248500000003816,884131.639485468,609658.7270844
"172.20.0.3",56392,"172.20.0.2",5679,14,1181,8,699,6,482,10.955152921,0.004707359999999383,0,0
"172.20.0.3",55322,"172.20.0.4",5679,14,1183,8,700,6,483,11.955158577,0.005768289999998899,970824.9758595821,669869.2333431117
"172.20.0.3",56398,"172.20.0.2",5679,14,1183,8,700,6,483,12.957532622,0.008232653999998618,680218.0681953765,469350.46705480985
"172.20.0.3",55336,"172.20.0.4",5679,14,1183,8,700,6,483,13.956381731,0.005088189000000298,1100588.04812472,759405.7532060569
"172.20.0.3",56402,"172.20.0.2",5679,14,1183,8,700,6,483,14.955487736,0.0599951910000005,93340.81459962271,64405.16207373967
"172.20.0.3",55346,"172.20.0.4",5679,14,1183,8,700,6,483,15.955265328,0.006156973000001287,909537.852447758,627581.118188953
"172.20.0.3",56416,"172.20.0.2",5679,14,1183,8,700,6,483,16.954859965,0.0035321259999996357,0,0
"172.20.0.3",46592,"172.20.0.5",9876,14,1470,7,742,7,728,17.614387418,1.6958387779999988,3500.332742125799,3434.2887281234252
"172.20.0.3",55348,"172.20.0.4",5679,14,1183,8,700,6,483,17.955626852,0.0035432999999969184,0,0
"172.20.0.3",56418,"172.20.0.2",5679,14,1183,8,700,6,483,18.954904361,0.0035925429999998926,0,0
"172.20.0.3",46608,"172.20.0.5",9876,2,128,1,74,1,54,19.320388878,2.866200000184449e-05,0,0
"172.20.0.3",46618,"172.20.0.5",9876,2,128,1,74,1,54,19.954938365,0.00019906300000016586,0,0
"172.20.0.3",56428,"172.20.0.2",5679,14,1128,8,702,6,426,19.95963409,0.006482128999998338,866382.0173898792,525753.1900400121
"172.20.0.3",55352,"172.20.0.4",5679,14,1128,8,702,6,426,19.963585727999998,0.00611977600000202,917680.6471344943,556883.1277482829
"172.20.0.3",52828,"172.20.0.4",5679,14,1183,8,700,6,483,20.954668818000002,0.0035300639999995553,0,0
"172.20.0.3",50984,"172.20.0.5",9876,2,128,1,74,1,54,21.529226937,3.4511999999153886e-05,0,0
"172.20.0.4",53134,"172.20.0.3",5679,14,1167,8,685,6,482,3.552509729,0.054745349000000054,100099.82765841889,70435.20719906263
